TIME wclk4 wclk0 wclk1 wclk2 wclk3 wctl2 wctl2 
 0.00000E+00  6.94901E-01  3.97081E-07  6.99999E-01  3.33708E-07  6.99999E-01  7.00000E-01  7.00000E-01 
 5.07197E-14  6.93191E-01 -9.52632E-06  6.99999E-01  9.14799E-08  6.99984E-01  7.00000E-01  7.00000E-01 
 5.10519E-14  6.93180E-01 -9.59132E-06  6.99999E-01  8.98934E-08  6.99984E-01  7.00000E-01  7.00000E-01 
 6.53460E-14  6.92700E-01 -1.40619E-05  6.99999E-01  9.29820E-09  6.99979E-01  7.00000E-01  7.00000E-01 
 6.76127E-14  6.92625E-01 -1.50471E-05  6.99999E-01 -5.79468E-09  6.99978E-01  7.00000E-01  7.00000E-01 
 9.39342E-14  6.91747E-01 -2.64875E-05  6.99999E-01 -1.81055E-07  6.99968E-01  7.00000E-01  7.00000E-01 
 1.01399E-13  6.91501E-01 -3.09488E-05  6.99999E-01 -2.42427E-07  6.99965E-01  7.00000E-01  7.00000E-01 
 1.23099E-13  6.90784E-01 -4.39186E-05  6.99999E-01 -4.20846E-07  6.99956E-01  7.00000E-01  7.00000E-01 
 1.31003E-13  6.90526E-01 -4.99654E-05  6.99999E-01 -5.01731E-07  6.99952E-01  7.00000E-01  7.00000E-01 
 1.55644E-13  6.89721E-01 -6.88169E-05  6.99998E-01 -7.53896E-07  6.99940E-01  7.00000E-01  7.00000E-01 
 1.69269E-13  6.89276E-01 -7.92412E-05  6.99998E-01 -8.93337E-07  6.99933E-01  7.00000E-01  7.00000E-01 
 1.84037E-13  6.88798E-01 -9.26590E-05  6.99998E-01 -1.07616E-06  6.99926E-01  7.00000E-01  7.00000E-01 
 2.09562E-13  6.87973E-01 -1.15850E-04  6.99997E-01 -1.39214E-06  6.99912E-01  7.00000E-01  7.00000E-01 
 2.21568E-13  6.87588E-01 -1.27840E-04  6.99997E-01 -1.56175E-06  6.99905E-01  7.00000E-01  7.00000E-01 
 2.47814E-13  6.86747E-01 -1.54051E-04  6.99996E-01 -1.93257E-06  6.99890E-01  7.00000E-01  7.00000E-01 
 2.67745E-13  6.86112E-01 -1.75121E-04  6.99996E-01 -2.24470E-06  6.99878E-01  7.00000E-01  7.00000E-01 
 2.88489E-13  6.85452E-01 -1.97051E-04  6.99995E-01 -2.56957E-06  6.99865E-01  7.00000E-01  7.00000E-01 
 3.13950E-13  6.84646E-01 -2.24921E-04  6.99995E-01 -3.00348E-06  6.99850E-01  7.00000E-01  7.00000E-01 
 3.31313E-13  6.84097E-01 -2.43928E-04  6.99994E-01 -3.29941E-06  6.99839E-01  7.00000E-01  7.00000E-01 
 3.63810E-13  6.83075E-01 -2.80183E-04  6.99993E-01 -3.89285E-06  6.99818E-01  7.00000E-01  7.00000E-01 
 3.77221E-13  6.82653E-01 -2.95145E-04  6.99993E-01 -4.13776E-06  6.99809E-01  7.00000E-01  7.00000E-01 
 4.16149E-13  6.81436E-01 -3.38899E-04  6.99991E-01 -4.88974E-06  6.99784E-01  7.00000E-01  7.00000E-01 
 4.26904E-13  6.81099E-01 -3.50988E-04  6.99991E-01 -5.09751E-06  6.99777E-01  7.00000E-01  7.00000E-01 
 4.71511E-13  6.79711E-01 -4.01054E-04  6.99989E-01 -5.99868E-06  6.99747E-01  7.00000E-01  7.00000E-01 
 4.80779E-13  6.79422E-01 -4.11455E-04  6.99989E-01 -6.18590E-06  6.99741E-01  7.00000E-01  7.00000E-01 
 5.31097E-13  6.77863E-01 -4.67467E-04  6.99987E-01 -7.23809E-06  6.99707E-01  7.00000E-01  7.00000E-01 
 5.39452E-13  6.77604E-01 -4.76767E-04  6.99987E-01 -7.41281E-06  6.99701E-01  7.00000E-01  7.00000E-01 
 5.95602E-13  6.75872E-01 -5.38432E-04  6.99985E-01 -8.61685E-06  6.99663E-01  7.00000E-01  7.00000E-01 
 6.03685E-13  6.75623E-01 -5.47310E-04  6.99985E-01 -8.79020E-06  6.99657E-01  7.00000E-01  7.00000E-01 
 6.65783E-13  6.73715E-01 -6.14318E-04  6.99983E-01 -1.01441E-05  6.99615E-01  7.00000E-01  7.00000E-01 
