nFin ,Tdly_stage modelFiles 7nm_FF.pm VDD 0.75 ENADLY 0 ,Tdly_stage modelFiles 7nm_FF.pm VDD 0.75 ENADLY 1 ,Tdly_stage modelFiles 7nm_SS.pm VDD 0.65 ENADLY 0 ,Tdly_stage modelFiles 7nm_SS.pm VDD 0.65 ENADLY 1 ,Tdly_stage modelFiles 7nm_TT.pm VDD 0.7 ENADLY 0 ,Tdly_stage modelFiles 7nm_TT.pm VDD 0.7 ENADLY 1 
1.00000000000,4.99188392105E-12,4.73401686968E-12,7.69930818620E-12,7.39252188566E-12,6.03332460334E-12,5.76064403338E-12
2.00000000000,5.44436848046E-12,4.94709797079E-12,8.39706284534E-12,7.80190787508E-12,6.57948472178E-12,6.05163104886E-12
3.00000000000,5.87951337402E-12,5.15493661369E-12,9.07008451717E-12,8.20169807690E-12,7.10520598747E-12,6.33598912800E-12
4.00000000000,6.30127589194E-12,5.35854971096E-12,9.72491319095E-12,8.59293373845E-12,7.61551642862E-12,6.61380071145E-12
5.00000000000,6.71204204598E-12,5.55808174984E-12,10.3641304540E-12,8.97775670990E-12,8.11334972174E-12,6.88733885580E-12
6.00000000000,7.11423620340E-12,5.75372599459E-12,10.9914150517E-12,9.35544159275E-12,8.60160974908E-12,7.15426278831E-12
7.00000000000,7.50927843762E-12,5.94669750098E-12,11.6082712757E-12,9.72794767827E-12,9.08107275930E-12,7.41815539945E-12
8.00000000000,7.89798912522E-12,6.13679048847E-12,12.2163490349E-12,10.0958415899E-12,9.55331068617E-12,7.67843690712E-12
9.00000000000,8.28127305288E-12,6.32441511510E-12,12.8162532834E-12,10.4588344077E-12,10.0186664200E-12,7.93567964422E-12
10.0000000000,8.66061760154E-12,6.51010269081E-12,13.4099196950E-12,10.8179558407E-12,10.4793639491E-12,8.18945473841E-12
11.0000000000,9.03527697630E-12,6.69373627589E-12,13.9973299657E-12,11.1738597535E-12,10.9347119307E-12,8.44075854799E-12
12.0000000000,9.40699058597E-12,6.87538277371E-12,14.5793232061E-12,11.5259101110E-12,11.3860858199E-12,8.68965576128E-12
13.0000000000,9.77433747850E-12,7.05550159123E-12,15.1561019625E-12,11.8748803400E-12,11.8331449817E-12,8.93641348730E-12
14.0000000000,10.1393917480E-12,7.23385230623E-12,15.7292481303E-12,12.2214773571E-12,12.2770079913E-12,9.18079450607E-12
15.0000000000,10.5017053988E-12,7.41106431751E-12,16.2975102488E-12,12.5648562305E-12,12.7170526803E-12,9.42364782616E-12
16.0000000000,10.8614402108E-12,7.58684306454E-12,16.8623250724E-12,12.9062907718E-12,13.1547139344E-12,9.66461267529E-12
17.0000000000,11.2189767231E-12,7.76162812003E-12,17.4233294907E-12,13.2453315639E-12,13.5892005240E-12,9.90399687222E-12
18.0000000000,11.5739979270E-12,7.93460212160E-12,17.9821591914E-12,13.5822450812E-12,14.0203961977E-12,10.1409224717E-12
19.0000000000,11.9276300680E-12,8.10753618141E-12,18.5368642036E-12,13.9171709790E-12,14.4496758253E-12,10.3773189544E-12
20.0000000000,12.2780183818E-12,8.27896792323E-12,19.0892273274E-12,14.2504979492E-12,14.8772116699E-12,10.6120703548E-12
21.0000000000,12.6278742299E-12,8.45012721801E-12,19.6386406347E-12,14.5816105925E-12,15.3021055663E-12,10.8457693954E-12
22.0000000000,12.9761065407E-12,8.61984409122E-12,20.1854492778E-12,14.9112800804E-12,15.7252462340E-12,11.0783074943E-12
23.0000000000,13.3228200566E-12,8.78785679885E-12,20.7298327777E-12,15.2395593899E-12,16.1463767031E-12,11.3096034145E-12
24.0000000000,13.6672198703E-12,8.95619959764E-12,21.2719577880E-12,15.5657733200E-12,16.5657002989E-12,11.5398106594E-12
25.0000000000,14.0107201837E-12,9.12361710507E-12,21.8117433589E-12,15.8915163345E-12,16.9830521970E-12,11.7691293336E-12
26.0000000000,14.3537410766E-12,9.29005481512E-12,22.3497614408E-12,16.2155446794E-12,17.3987749907E-12,11.9975999664E-12
