nFin ,JitterAmp_Gain modelFiles 7nm_FF.pm VDD 0.75 ,JitterAmp_Gain modelFiles 7nm_SS.pm VDD 0.65 ,JitterAmp_Gain modelFiles 7nm_TT.pm VDD 0.7 
1.00000000000,2.21588053993E-3,18.5280356949E-3,9.44327305702E-3
2.00000000000,7.34055059050E-3,37.6599969825E-3,19.2963521646E-3
3.00000000000,11.7427940554E-3,58.8734685410E-3,30.6097333618E-3
4.00000000000,16.5437305292E-3,79.8663277720E-3,40.1059109493E-3
5.00000000000,20.3186097950E-3,99.3724686876E-3,49.7389387449E-3
6.00000000000,24.8513978006E-3,117.974779324E-3,59.2672256205E-3
7.00000000000,28.7781107128E-3,135.595342569E-3,69.8459796018E-3
8.00000000000,32.4083505243E-3,156.042141122E-3,78.7186305935E-3
9.00000000000,36.4934166317E-3,174.846940481E-3,88.1268225409E-3
10.0000000000,40.9505105342E-3,191.244417286E-3,97.7656434535E-3
11.0000000000,45.2279697105E-3,208.806846168E-3,105.588128549E-3
12.0000000000,49.2620000747E-3,227.196210117E-3,113.636804306E-3
13.0000000000,52.3582611916E-3,242.758616276E-3,122.161824219E-3
14.0000000000,55.6922028159E-3,261.225673233E-3,131.273259391E-3
15.0000000000,59.3007107574E-3,280.055579959E-3,138.644310303E-3
16.0000000000,63.4547639768E-3,299.165879870E-3,149.143366244E-3
17.0000000000,66.7834320966E-3,314.942339142E-3,156.515583097E-3
18.0000000000,70.0805489597E-3,330.931437735E-3,164.397687134E-3
19.0000000000,73.6724312870E-3,347.154369255E-3,172.979124485E-3
20.0000000000,76.8740983758E-3,363.628530332E-3,182.015410584E-3
21.0000000000,81.1341735159E-3,380.868242224E-3,189.594911079E-3
22.0000000000,84.2051564969E-3,398.758866897E-3,197.434589356E-3
23.0000000000,87.6867234419E-3,414.352414517E-3,206.233363231E-3
24.0000000000,90.9824049197E-3,430.937099106E-3,214.255300545E-3
25.0000000000,94.3754507250E-3,448.773255935E-3,223.270278934E-3
26.0000000000,98.4114970550E-3,463.389663261E-3,232.048686608E-3
27.0000000000,100.596239199E-3,478.654750227E-3,239.406673317E-3
28.0000000000,104.372411315E-3,496.083414051E-3,248.154090300E-3
29.0000000000,107.990561136E-3,511.554414730E-3,256.928381847E-3
30.0000000000,111.623661040E-3,528.615180304E-3,262.097124259E-3
31.0000000000,114.452537356E-3,545.357249884E-3,269.926583626E-3
32.0000000000,118.062021826E-3,561.522630251E-3,278.428216697E-3
33.0000000000,122.586674328E-3,578.221631310E-3,286.768048206E-3
34.0000000000,125.274367938E-3,595.091165167E-3,293.779791580E-3
35.0000000000,128.822282370E-3,614.743643060E-3,301.642943931E-3
36.0000000000,131.360244352E-3,626.780406305E-3,308.868676947E-3
37.0000000000,134.950951438E-3,640.937244153E-3,317.231577260E-3
38.0000000000,137.888908466E-3,658.444891306E-3,325.424449450E-3
39.0000000000,141.049575288E-3,673.286359719E-3,333.021048725E-3
40.0000000000,144.253828695E-3,688.873196233E-3,340.242181680E-3
41.0000000000,148.231323271E-3,708.182422340E-3,347.453557587E-3
42.0000000000,151.606134556E-3,722.329657733E-3,354.435495607E-3
43.0000000000,153.142195995E-3,740.296199118E-3,364.836095823E-3
44.0000000000,157.126292498E-3,757.576478746E-3,372.136033745E-3
45.0000000000,160.203601339E-3,774.113915494E-3,381.166208214E-3
46.0000000000,164.151533971E-3,790.050177185E-3,388.608737770E-3
47.0000000000,166.865035347E-3,805.521043077E-3,393.159940332E-3
48.0000000000,169.861168175E-3,821.601847509E-3,404.442581609E-3
49.0000000000,173.052384558E-3,837.750596298E-3,411.238411289E-3
50.0000000000,175.295587590E-3,851.916818136E-3,419.235787926E-3
51.0000000000,179.053967669E-3,867.647459213E-3,426.524243261E-3
52.0000000000,182.207903127E-3,884.920871705E-3,432.651437037E-3
53.0000000000,185.830635436E-3,898.029482764E-3,440.248985441E-3
54.0000000000,188.300190196E-3,914.432479568E-3,450.644956070E-3
55.0000000000,191.583863536E-3,929.724555683E-3,456.364659165E-3
56.0000000000,194.970860120E-3,945.223912446E-3,464.790686170E-3
57.0000000000,198.256410131E-3,962.406321952E-3,472.151866539E-3
58.0000000000,200.834836923E-3,978.369887170E-3,479.659378325E-3
59.0000000000,204.527344862E-3,995.035484629E-3,488.296454889E-3
60.0000000000,208.401288111E-3,1.01216164459,494.365936929E-3
61.0000000000,211.126211939E-3,1.02752913153,503.245822554E-3
62.0000000000,214.251823567E-3,1.04560749353,511.555843131E-3
63.0000000000,217.484179777E-3,1.06058189210,519.646131279E-3
64.0000000000,220.648570087E-3,1.07565573504,527.714470517E-3
65.0000000000,223.539091233E-3,1.09284226137,534.072550562E-3
66.0000000000,226.596817545E-3,1.10990226237,543.266059632E-3
67.0000000000,229.035133984E-3,1.12187622860,551.340360474E-3
68.0000000000,232.631622824E-3,1.13426972474,558.684941639E-3
69.0000000000,235.697151598E-3,1.15038045382,566.270881269E-3
70.0000000000,238.510748019E-3,1.16761892669,573.314627674E-3
71.0000000000,241.889749816E-3,1.18427274309,580.378074928E-3
72.0000000000,244.809288092E-3,1.19916605900,589.486844182E-3
73.0000000000,248.249289346E-3,1.21440681281,596.036735794E-3
74.0000000000,251.306854607E-3,1.23303735834,603.562481813E-3
75.0000000000,254.089775285E-3,1.24881755845,610.937016484E-3
76.0000000000,256.971692591E-3,1.26494065773,618.220773539E-3
77.0000000000,260.460798796E-3,1.28055843151,626.646992947E-3
78.0000000000,264.109442986E-3,1.29668194023,634.329212108E-3
79.0000000000,267.786020214E-3,1.31253068360,641.923090070E-3
80.0000000000,270.699658179E-3,1.32829049164,649.791098488E-3
81.0000000000,273.921448162E-3,1.34314668720,659.047947765E-3
82.0000000000,276.314587169E-3,1.35929120249,663.795821270E-3
83.0000000000,279.300303025E-3,1.37628278236,673.440459633E-3
84.0000000000,282.384783246E-3,1.39084693398,679.616908507E-3
85.0000000000,285.425272490E-3,1.40739841926,689.487191121E-3
86.0000000000,288.403900395E-3,1.42210333901,696.210997960E-3
87.0000000000,291.767421119E-3,1.43527473718,703.171579260E-3
88.0000000000,295.363031209E-3,1.45106975902,711.895692612E-3
89.0000000000,298.415338098E-3,1.46803682109,718.444147973E-3
90.0000000000,301.132593905E-3,1.47971348180,728.135214147E-3
91.0000000000,304.126599719E-3,1.50118115686,736.098627158E-3
92.0000000000,307.336639332E-3,1.51687430833,741.866726166E-3
93.0000000000,310.607306428E-3,1.52860939288,749.171891181E-3
94.0000000000,312.000228400E-3,1.54593861072,757.881425940E-3
95.0000000000,316.818371926E-3,1.56312102405,767.633173082E-3
96.0000000000,319.826459449E-3,1.57943609939,776.259765125E-3
97.0000000000,322.786312393E-3,1.59401188600,782.985297608E-3
98.0000000000,325.372304443E-3,1.60823014737,787.581468022E-3
99.0000000000,329.561031634E-3,1.62685017988,795.815143410E-3
100.000000000,330.635712478E-3,1.64276522114,803.559443386E-3
