time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
0.00000000000,957.500000000E-3,1.00000000000,50.0000000000E-3
10.0000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
30.0000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
70.0000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
150.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
250.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
350.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
450.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
550.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
650.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
750.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
850.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
925.000000000E-9,957.500000000E-3,1.00000000000,50.0000000000E-3
1.00000000000E-6,957.500000000E-3,1.00000000000,50.0000000000E-3
1.00000100000E-6,957.475000006E-3,1.00000000000,100.000000000E-3
1.00000300000E-6,957.425000094E-3,1.00000000000,100.000000000E-3
1.00000700000E-6,957.325000593E-3,1.00000000000,100.000000000E-3
1.00001500000E-6,957.125004527E-3,1.00000000000,100.000000000E-3
1.00003100000E-6,956.725036870E-3,1.00000000000,100.000000000E-3
1.00006300000E-6,955.925301430E-3,1.00000000000,100.000000000E-3
1.00012700000E-6,954.327444725E-3,1.00000000000,100.000000000E-3
1.00025500000E-6,951.144660718E-3,1.00000000000,100.000000000E-3
1.00051100000E-6,944.881520184E-3,1.00000000000,100.000000000E-3
1.00093651739E-6,935.017666153E-3,1.00000000000,100.000000000E-3
1.00131525973E-6,927.065101813E-3,1.00000000000,100.000000000E-3
1.00166253264E-6,920.668066722E-3,1.00000000000,100.000000000E-3
1.00199797594E-6,915.467179656E-3,1.00000000000,100.000000000E-3
1.00232020878E-6,911.495765771E-3,1.00000000000,100.000000000E-3
1.00263789965E-6,908.647275558E-3,1.00000000000,100.000000000E-3
1.00295669909E-6,906.907021211E-3,1.00000000000,100.000000000E-3
1.00327964936E-6,906.309542639E-3,1.00000000000,100.000000000E-3
1.00360968539E-6,906.902587378E-3,1.00000000000,100.000000000E-3
1.00394939340E-6,908.739975779E-3,1.00000000000,100.000000000E-3
1.00430153635E-6,911.873133217E-3,1.00000000000,100.000000000E-3
1.00466962697E-6,916.349166411E-3,1.00000000000,100.000000000E-3
1.00505857281E-6,922.212983697E-3,1.00000000000,100.000000000E-3
1.00547605876E-6,929.518431210E-3,1.00000000000,100.000000000E-3
1.00593601364E-6,938.365769862E-3,1.00000000000,100.000000000E-3
1.00647062667E-6,949.050822452E-3,1.00000000000,100.000000000E-3
1.00721452673E-6,963.168767004E-3,1.00000000000,100.000000000E-3
1.00770925637E-6,971.398708831E-3,1.00000000000,100.000000000E-3
1.00822301991E-6,978.356308132E-3,1.00000000000,100.000000000E-3
1.00867303312E-6,982.783484496E-3,1.00000000000,100.000000000E-3
1.00906546634E-6,985.201812416E-3,1.00000000000,100.000000000E-3
1.00943367899E-6,986.166103182E-3,1.00000000000,100.000000000E-3
